,Reaction,Original Flux,Tissue-specific Flux,Difference
158,R_group_phosphotase_2,0.0,0.0,0.0
159,R_group_phosphotase_3,0.0,0.0,0.0
160,ASCBOX_1,0.0,0.0,0.0
161,ASCBt,0.0,0.0,0.0
162,ASNCYSNaEx,0.0,0.0,0.0
163,ASNGLNNaEx,0.0,0.0,0.0
164,ASNNm,0.0,0.0,0.0
165,ASNS1,0.0,0.0,0.0
166,ASNt4,0.0,0.0,0.0
167,ASPDxt,0.0,0.0,0.0
168,ASPGLUm,498.6397141637868,0.0,498.6397141637868
169,ASPNATm,0.0,0.0,0.0
170,ASPt6,0.0,0.0,0.0
171,ASPTAm,-498.6397141637868,0.0,-498.6397141637868
172,ATP1ter,0.0,0.0,0.0
173,BILGLCURte,0.0,0.0,0.0
174,BILIRED,0.0,0.0,0.0
175,EX_6htststerone_e,0.0,0.0,0.0
176,ATPasel_1,0.0,0.0,0.0
177,ATPtn,0.0,0.0,0.0
178,ATPtx,0.0,0.0,0.0
179,AVITE2t,0.0,0.0,0.0
180,B3GALT3g,0.0,0.0,0.0
181,B3GALT42g,0.0,0.0,0.0
182,B3GALTg,0.0,0.0,0.0
183,B3GNT11g,0.0,0.0,0.0
184,B3GNT310g,0.0,0.0,0.0
185,B3GNT315g,0.0,0.0,0.0
186,B3GNT31g,0.0,0.0,0.0
187,B3GNT34g,0.0,0.0,0.0
188,B3GNT37g,0.0,0.0,0.0
189,B3GNT39g,0.0,0.0,0.0
190,B3GNT51g,0.0,0.0,0.0
191,BAAT1x,0.0,0.0,0.0
192,BAAT3x,96.61229611041499,303.16623950984643,-206.55394339943143
193,BACCL,0.0,0.0,0.0
194,BDHm,-159.34755332496908,0.0,-159.34755332496908
195,BETALDHxm,0.0,0.0,0.0
196,BHBtm,-159.34755332496908,0.0,-159.34755332496908
197,BHMT,184.29820482214856,0.0,184.29820482214856
198,BTNDm,0.0,0.0,0.0
199,BTNPL,0.0,0.0,0.0
200,BTNt2m,0.0,0.0,0.0
201,BTNt3i_1,0.0,0.0,0.0
202,BVITEt,0.0,0.0,0.0
203,BZtr,0.0,0.0,0.0
204,C160CPT1,0.0,0.0,0.0
205,C160CPT2,144.29109159347536,0.0,144.29109159347536
206,C160CRNt,0.0,0.0,0.0
207,C161CPT1,0.0,0.0,0.0
208,C161CPT12,0.0,0.0,0.0
209,C161CPT2,0.0,-13.88450476138264,13.88450476138264
210,C161CRN2t,-65.24466750313647,0.0,-65.24466750313647
211,C161CRNt,0.0,-13.884504761382638,13.884504761382638
212,C180CPT1,0.0,0.0,0.0
213,C181CPT1,0.0,0.0,0.0
214,C181CRNt,0.0,0.0,0.0
215,C204CPT1,0.0,0.0,0.0
216,C204CPT2,0.0,0.0,0.0
217,C226COAtx,0.0,0.0,0.0
218,C226CPT1,0.0,0.0,0.0
219,C226CPT2,0.0,0.0,0.0
220,C226CRNt,0.0,0.0,0.0
221,C3STDH1r,0.0,0.0,0.0
222,C4STMO1r,0.0,0.0,0.0
223,C4STMO2Pr,0.0,0.0,0.0
224,CAATPS_1,0.0,0.0,0.0
225,CAROtr,0.0,0.0,0.0
226,CAt7r,0.0,0.0,0.0
227,CATm,750.0,721.0281543695693,28.97184563043072
228,CATp,499.99999999999955,128.47250490028094,371.52749509971864
229,CBL2tm,0.0,0.0,0.0
230,CBPPer,1000.0,1000.0,0.0
231,CBR2,0.0,0.0,0.0
232,CDIPTr,-8.261434373368468,-8.261434373368468,0.0
233,CDPDAGtm,0.0,0.0,0.0
234,CDS,0.0,0.0,0.0
235,CH25H,0.0,0.0,0.0
236,CHATn,0.0,0.0,0.0
237,CHLP,0.0,0.0,0.0
238,CHOLD2m,0.0,0.0,0.0
239,CHOLK,0.0,0.0,0.0
240,CHOLPtl,0.0,0.0,0.0
241,CHOLtn,0.0,0.0,0.0
242,CHOLtr,1000.0,0.0,1000.0
243,CHSTEROLt3,-14.457155828709055,0.0,-14.457155828709055
244,CITRtm,-255.68436485507897,0.0,-255.68436485507897
245,CITtam,0.0,0.0,0.0
246,CK_cho,0.0,0.0,0.0
247,CLHCO3tex2,0.0,0.0,0.0
248,CLOXAtex2,0.0,0.0,0.0
249,CLPNDCOAtx,0.0,0.0,0.0
250,CLPNDCPT1,0.0,0.0,0.0
251,CLPNDt,0.0,0.0,0.0
252,CMPACNAtn,0.0,0.0,0.0
253,ACNMCT,0.0,0.0,0.0
254,CO2tg,0.0,0.0,0.0
255,CO2tm,488.08030112923404,0.0,488.08030112923404
256,COAtim,0.0,-653.9308201614197,653.9308201614197
257,COKECBESr,0.0,0.0,0.0
258,COQ3m,0.0,0.0,0.0
259,COQ6m,0.0,0.0,0.0
260,COQ7m,0.0,0.0,0.0
261,CORE3GTg,0.0,0.0,0.0
262,CORE6GTg,0.0,0.0,0.0
263,CORE7GTg,0.0,0.0,0.0
264,CREATt4_2_r,0.0,0.0,0.0
265,CREATtmdiffir,0.0,0.0,0.0
266,CRMPte,0.0,0.0,0.0
267,CRNCAR3tp,0.0,0.0,0.0
268,CRNCARtp,0.0,0.0,0.0
269,CRNt,0.0,0.0,0.0
270,CRNtHa,0.0,0.0,0.0
271,CRNtuNa,0.0,0.0,0.0
272,CRTNsyn_cho,0.0,0.0,0.0
273,CRTSLt,0.0,0.0,0.0
274,CRTSLtm,0.0,0.0,0.0
275,CRTSLtr,0.0,0.0,0.0
276,CRVNCtr,0.0,0.0,0.0
277,CSAPASEly,0.0,0.0,0.0
278,CSCPASEly,0.0,0.0,0.0
279,CSEPASEly,0.0,0.0,0.0
280,CSNAT2m,0.0,0.0,0.0
281,CSNAT2x,8.880956564193959e-14,0.0,8.880956564193959e-14
282,CSNAT3x,0.0,0.0,0.0
283,CSNATm,0.0,0.0,0.0
284,CSNATp,0.0,0.0,0.0
285,CSNATr,-130.4893350062733,-13.88450476138291,-116.6048302448904
286,CSPG_Atly,0.0,0.0,0.0
287,CSPG_Ct,0.0,0.0,0.0
288,CSPG_Ctly,0.0,0.0,0.0
289,CSPG_Dt,0.0,0.0,0.0
290,CSPG_Dtly,0.0,0.0,0.0
291,CTPtn,0.0,0.0,0.0
292,CYANt,0.0,0.0,0.0
293,CYANtm,0.0,0.0,0.0
294,CYSALANaEx,0.0,0.0,0.0
295,CYSASNNaEx,0.0,0.0,0.0
296,CYSGLYex,0.0,0.0,0.0
297,CYSO,0.0,0.0,0.0
298,CYSSERNaEx,0.0,0.0,0.0
299,CYStec,0.0,0.0,0.0
300,CYSTGLUex,0.0,0.0,0.0
301,CYTD,0.0,0.0,0.0
302,CYTDt,0.0,-972.3371631327149,972.3371631327149
303,CYTDtl,0.0,0.0,0.0
304,CYTK12,0.0,0.0,0.0
305,CYTK12n,0.0,0.0,0.0
306,CYTK13n,0.0,0.0,0.0
307,CYTK14,0.0,0.0,0.0
308,CYTK1m,0.0,0.0,0.0
309,CYTK2n,-990.3621323306508,-990.3621323306513,5.684341886080801e-13
310,CYTK5n,0.0,0.0,0.0
311,CPK1,0.0,0.0,0.0
312,CYTK6n,0.0,0.0,0.0
313,CYTK7,1000.0,514.3851403406479,485.6148596593521
314,CYTK7n,2.4435603586915573e-13,19.275735338697718,-19.275735338697473
315,CYTK8,0.0,0.0,0.0
316,CYTK8n,-2.4435603586915573e-13,-19.275735338697718,19.275735338697473
317,DADNK,0.0,0.0,0.0
318,DAG_HSter,0.0,0.0,0.0
319,DAGK_hs,0.0,0.0,0.0
320,DASCBH,0.0,0.0,0.0
321,DASPO1p,0.0,0.0,0.0
322,DATPtn,2.7392505082427326e-29,-9.9919926007753e-14,9.991992600775303e-14
323,DCK1m,571.5353499904672,571.5353499904662,1.0231815394945443e-12
324,DCK1n,-990.362132330651,0.0,-990.362132330651
325,DLNLCGCPT2,0.0,0.0,0.0
326,DCSPTN1CPT1,0.0,0.0,0.0
327,DCSPTN1CRNt,0.0,0.0,0.0
328,DCSPTN1t,0.0,0.0,0.0
329,DCTPtn,990.362132330651,990.3621323306515,-5.684341886080801e-13
330,DCYTD,0.0,0.0,0.0
331,DCYTt,-418.8267823401838,-418.8267823401854,1.5916157281026244e-12
332,DECDPtm,0.0,0.0,0.0
333,DEDOLP2_L,0.0,0.0,0.0
334,DESAT18_10,0.0,0.0,0.0
335,DESAT18_6,0.0,0.0,0.0
336,DESAT18_12,0.0,0.0,0.0
337,DESAT22_2p,0.0,0.0,0.0
338,DESAT24_1,0.0,0.0,0.0
339,DGCHOLte,0.0,0.0,0.0
340,DGSNt,0.0,0.0,0.0
341,DGSNtm,-1.5475296079321594e-13,0.0,-1.5475296079321594e-13
342,DHCRD2,0.0,0.0,0.0
343,DHDPBMTm,0.0,0.0,0.0
344,DHEASt,0.0,0.0,0.0
345,DHEASULT,0.0,0.0,0.0
346,DHEAtr,0.0,0.0,0.0
347,DHFtl,0.0,0.0,0.0
348,DHFtm,-1000.0,0.0,-1000.0
349,DHORD9,0.0,0.0,0.0
350,DHPM1,0.0,0.0,0.0
351,DIGALSGALSIDEtg,0.0,0.0,0.0
352,DIGALSIDEtl,0.0,0.0,0.0
353,DITPtn,-1000.0,-1000.0,0.0
354,D_LACt2,-441.42529137474355,-1000.0,558.5747086252564
355,DLNLCGCPT1,0.0,0.0,0.0
356,DM_Asn_X_Ser_Thr_l,0.0,0.0,0.0
357,DM_core5_g,0.0,0.0,0.0
358,DM_dem2emgacpail_prot_hs_r,0.0,0.0,0.0
359,DM_dgpi_prot_hs_r,0.0,0.0,0.0
360,DM_dsT_antigen_g,0.0,0.0,0.0
361,DM_kdn_c,0.0,0.0,0.0
362,DM_melanin_c,0.0,0.0,0.0
363,DM_n5m2masn_g,0.0,0.0,0.0
364,DM_oretn_n,0.0,0.0,0.0
365,DM_Ser_Thr_l,0.0,0.0,0.0
366,DM_Ser_Gly_Ala_X_Gly_l,0.0,0.0,0.0
367,DM_sprm_c,0.0,0.0,0.0
368,DMANTIPYRINEte,0.0,0.0,0.0
369,DMATTx,0.0,0.0,0.0
370,DMGDHm,0.0,0.0,0.0
371,DMGtm,0.0,0.0,0.0
372,DMHPTCRNCPT2,0.0,0.0,0.0
373,DMHPTCRNte,0.0,0.0,0.0
374,C110CPT2m,0.0,0.0,0.0
375,DMNONCRNt,0.0,0.0,0.0
376,DNADtn,0.0,0.0,0.0
377,DNDPt10m,0.0,0.0,0.0
378,DNDPt11m,-1.5475296079321594e-13,0.0,-1.5475296079321594e-13
379,DNDPt13m,0.0,0.0,0.0
380,DNDPt14m,0.0,0.0,0.0
381,DNDPt15m,-2.1490525905556605e-29,0.0,-2.1490525905556605e-29
382,DNDPt16m,0.0,0.0,0.0
383,DNDPt17m,0.0,0.0,0.0
384,DNDPt18m,0.0,0.0,0.0
385,DNDPt1m,0.0,0.0,0.0
386,DNDPt20m,0.0,0.0,0.0
387,DNDPt21m,0.0,0.0,0.0
388,DNDPt25m,0.0,0.0,0.0
389,DNDPt28m,0.0,0.0,0.0
390,DNDPt32m,0.0,0.0,0.0
391,DNDPt37m,0.0,0.0,0.0
392,DNDPt38m,391.16394547289843,391.16394547290014,-1.7053025658242404e-12
393,DNDPt39m,0.0,0.0,0.0
394,DNDPt40m,0.0,0.0,0.0
395,DNDPt42m,0.0,0.0,0.0
396,DNDPt43m,0.0,0.0,0.0
397,DNDPt45m,0.0,0.0,0.0
398,DNDPt49m,0.0,0.0,0.0
399,DNDPt50m,0.0,0.0,0.0
400,DNDPt52m,0.0,0.0,0.0
401,DNDPt55m,0.0,0.0,0.0
402,DNDPt56m,0.0,0.0,0.0
403,DNDPt57m,0.0,0.0,0.0
404,DNDPt59m,0.0,0.0,0.0
405,DNDPt5m,0.0,0.0,0.0
406,DNDPt60m,0.0,0.0,0.0
407,DNDPt61m,0.0,0.0,0.0
408,DNDPt62m,0.0,0.0,0.0
409,DNDPt63m,0.0,0.0,0.0
410,DNDPt6m,0.0,0.0,0.0
411,DOLGPP_Ler,0.0,0.0,0.0
412,DOLICHOL_Lter,0.0,0.0,0.0
413,DOLICHOL_Uter,0.0,0.0,0.0
414,DOLK_U,0.0,0.0,0.0
415,DOLPH_Uer,0.0,0.0,0.0
416,DOLPMT_U,0.0,0.0,0.0
417,DOLP_Lter,0.0,0.0,0.0
418,DOLP_Uter,0.0,0.0,0.0
419,DOPAt4_2_r,0.0,0.0,0.0
420,DOPAtu,0.0,0.0,0.0
421,DOPAVESSEC_1,0.0,0.0,0.0
422,DPCOAtl,0.0,0.0,0.0
423,DPGase,0.0,0.0,0.0
424,DSAT,0.0,0.0,0.0
425,DTDPtn,1000.0000000000003,1000.0000000000003,0.0
426,DUDPtn,-1000.0000000000001,-1000.0000000000001,0.0
427,DURAD,0.0,0.0,0.0
428,DURAD2,0.0,0.0,0.0
429,DURIK1,0.0,0.0,0.0
430,DURIt,0.0,-1.350907001920436e-13,1.350907001920436e-13
431,DUTPDPm,0.0,0.0,0.0
432,EBASTINEOHtr,0.0,0.0,0.0
433,EBASTINEte,0.0,0.0,0.0
434,ECOAH12m,0.0,0.0,0.0
435,ECOAH9m,0.0,0.0,0.0
436,EICOSTETCPT1,0.0,0.0,0.0
437,ENGASE2ly,0.0,0.0,0.0
438,ESTRADIOLGLCtr,0.0,0.0,0.0
439,ESTRADIOLt,0.0,0.0,0.0
440,ESTRIOLGLCte,0.0,0.0,0.0
441,ESTRIOLtr,0.0,0.0,0.0
442,ESTRONEGLCt,0.0,0.0,0.0
443,ESTRONESt,0.0,0.0,0.0
444,ESTRONESt2,0.0,0.0,0.0
445,ESTRONEtr,0.0,0.0,0.0
446,ETF,0.0,111.07603809106075,-111.07603809106075
447,ETFQO,0.0,111.07603809106075,-111.07603809106075
448,ETHAK,0.0,0.0,0.0
449,EX_10fthf5glu_e,0.0,0.0,0.0
450,EX_10fthf6glu_e,0.0,0.0,0.0
451,EX_10fthf7glu_e,0.0,0.0,0.0
452,EX_11_cis_retfa_e,0.0,0.0,0.0
453,EX_13_cis_retnglc_e,0.0,0.0,0.0
454,EX_24nph_e,0.0,0.0,0.0
455,EX_25hvitd3_e,0.0,0.0,0.0
456,EX_2hb_e,13.801756587202059,653.9308201614199,-640.1290635742179
457,EX_2mcit_e,0.0,0.0,0.0
458,EX_34dhphe_e,0.0,0.0,0.0
459,EX_35cgmp_e,0.0,0.0,0.0
460,EX_4hphac_e,0.0,0.0,0.0
461,EX_4mptnl_e,0.0,0.0,0.0
462,EX_7dhf_e,0.0,0.0,0.0
463,EX_7thf_e,0.0,0.0,0.0
464,EX_9_cis_retfa_e,0.0,0.0,0.0
465,EX_acetone_e,0.0,0.0,0.0
466,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,0.0,0.0,0.0
467,EX_acnacngal14acglcgalgluside_hs_e,0.0,0.0,0.0
468,EX_adp_e,0.0,0.0,0.0
469,EX_ahandrostanglc_e,0.0,0.0,0.0
470,EX_ala_B_e,490.0372393339362,0.0,490.0372393339362
471,EX_ala__D_e,0.0,0.0,0.0
472,EX_aldstrn_e,0.0,0.0,0.0
473,EX_andrstrn_e,0.0,0.0,0.0
474,EX_andrstrnglc_e,0.0,0.0,0.0
475,EX_antipyrene_e,0.0,0.0,0.0
476,EX_appnn_e,0.0,0.0,0.0
477,EX_arach_e,0.0,0.6937698664971396,-0.6937698664971396
478,EX_avite1_e,0.0,0.0,0.0
479,EX_avite2_e,0.0,0.0,0.0
480,EX_bhb_e,159.34755332496906,0.0,159.34755332496906
481,EX_bildglcur_e,0.0,0.0,0.0
482,EX_biocyt_e,0.0,0.0,0.0
483,EX_bvite_e,0.0,0.0,0.0
484,EX_caro_e,0.0,0.0,0.0
485,EX_carveol_e,0.0,0.0,0.0
486,EX_chol_e,0.0,0.0,0.0
487,EX_cholate_e,0.0,0.0,0.0
488,EX_chtn_e,0.0,0.0,0.0
489,EX_clpnd_e,0.0,1.4937698664971395,-1.4937698664971395
490,EX_coumarin_e,0.0,0.0,0.0
491,EX_creat_e,0.0,0.0,0.0
492,EX_crmp_hs_e,0.0,0.0,0.0
493,EX_crn_e,0.0,0.0,0.0
494,EX_crtstrn_e,0.0,0.0,0.0
495,EX_crvnc_e,0.0,0.0,0.0
496,EX_cspg_c_e,0.0,0.0,0.0
497,EX_cspg_e_e,0.0,0.0,0.0
498,EX_cyan_e,0.0,0.0,0.0
499,EX_dag_hs_e,1000.0000000000001,1000.0000000000001,0.0
500,EX_dcsptn1_e,0.0,0.05486331849968215,-0.05486331849968215
501,EX_dhdascb_e,0.0,0.0,0.0
502,EX_dheas_e,0.0,0.0,0.0
503,EX_dhf_e,0.0,0.0,0.0
504,EX_digalsgalside_hs_e,0.0,0.0,0.0
505,EX_dlnlcg_e,0.0,1.5521296884933256,-1.5521296884933256
506,EX_dmantipyrine_e,0.0,0.0,0.0
507,EX_dmhptcrn_e,0.0,0.0,0.0
508,EX_dopa_e,-20.070803332815327,0.0,-20.070803332815327
509,EX_eaflatoxin_e,0.0,0.0,0.0
510,EX_ebastine_e,0.0,0.0,0.0
511,EX_eicostet_e,0.0,-0.08054672600127144,0.08054672600127144
512,EX_estradiolglc_e,0.0,0.0,0.0
513,EX_fucacngalacglcgalgluside_hs_e,0.0,0.0,0.0
514,EX_fucfuc12gal14acglcgalgluside_hs_e,0.0,0.0,0.0
515,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,0.0,0.0,0.0
516,EX_fucfucgalacglcgalgluside_hs_e,0.0,0.0,0.0
517,EX_fucgal14acglcgalgluside_hs_e,0.0,0.0,0.0
518,EX_fucgalgbside_hs_e,0.0,0.0,0.0
519,EX_fuc__L_e,0.0,0.0,0.0
520,EX_galacglcgalgbside_hs_e,0.0,0.0,0.0
521,EX_galfucgalacglcgal14acglcgalgluside_hs_e,0.0,0.0,0.0
522,EX_gd1c_hs_e,0.0,0.0,0.0
523,EX_gdp_e,0.0,0.0,0.0
524,EX_gluala_e,0.0,0.0,0.0
525,EX_glyc__S_e,0.0,0.0,0.0
526,EX_gp1calpha_hs_e,0.0,0.0,0.0
527,EX_gq1balpha_hs_e,0.0,0.0,0.0
528,EX_gsn_e,1000.0000000000002,380.7723110886904,619.2276889113098
529,EX_gt1a_hs_e,0.0,0.0,0.0
530,EX_gthox_e,0.0,1.093224051540727e-13,-1.093224051540727e-13
531,EX_ha_e,0.0,0.0,0.0
532,EX_ha_pre1_e,0.0,0.0,0.0
533,EX_hcoumarin_e,0.0,0.0,0.0
534,EX_hdcea_e,0.0,50.77101080737444,-50.77101080737444
535,EX_hexc_e,0.0,0.45486331849968226,-0.45486331849968226
536,EX_hom__L_e,0.0,0.0,0.0
537,EX_hspg_e,0.0,0.0,0.0
538,EX_htaxol_e,0.0,0.0,0.0
539,EX_i_e,0.0,0.0,0.0
540,EX_imp_e,3.319313656276037,835.5606630344031,-832.2413493781271
541,EX_ksi_e,0.0,0.0,0.0
542,EX_ksii_core4_e,0.0,0.0,0.0
543,EX_lac__D_e,441.4252913747435,999.9999999999999,-558.5747086252563
544,EX_cysi__L_e,0.0,0.0,0.0
545,EX_leuktrB4_e,0.0,0.0,0.0
546,EX_leuktrC4_e,0.0,-3.0268951667292894e-29,3.0268951667292894e-29
547,EX_leuktrD4_e,0.0,0.0,0.0
548,EX_leuktrE4_e,0.0,0.0,0.0
549,EX_limnen_e,0.0,0.0,0.0
550,EX_lipoate_e,0.0,0.0,0.0
551,EX_lnlc_e,0.0,0.0,0.0
552,EX_lnlnca_e,0.0,-2.7949777495232038,2.7949777495232038
553,EX_lpchol_hs_e,0.0,0.0,0.0
554,EX_meoh_e,0.0,0.0,0.0
555,EX_mercplaccys_e,533.2623980978387,458.04408500411546,75.21831309372328
556,EX_mthgxl_e,0.0,0.0,0.0
557,EX_nad_e,0.0,0.0,0.0
558,EX_nadp_e,0.0,0.0,0.0
559,EX_nifedipine_e,0.0,0.0,0.0
560,EX_npthl_e,0.0,0.0,0.0
561,EX_nrpphr_e,0.0,0.0,0.0
562,EX_oagd3_hs_e,0.0,0.0,0.0
563,EX_oagt3_hs_e,0.0,0.0,0.0
